"S1.bam" "S10.bam" "S11.bam" "S12.bam" "S2.bam" "S3.bam" "S4.bam" "S5.bam" "S6.bam" "S7.bam" "S8.bam" "S9.bam"
"OL67_000947" 1314 967 532 488 988 1283 1007 1012 1512 667 948 1363
"OL67_000948" 1578 1575 1378 2556 1442 2584 1557 1590 2343 1329 1616 2176
"OL67_000949" 643 793 425 507 606 781 642 595 887 534 742 1046
"OL67_000950" 3967 1703 1282 2026 2315 3735 2463 2616 3876 1323 1714 2600
"OL67_000951" 4756 3877 3110 3670 3199 4208 4041 3285 4504 2194 3181 3483
"OL67_000952" 94 145 94 113 116 184 144 117 178 72 139 173
"OL67_000953" 176 191 106 96 218 302 243 187 338 140 209 347
"OL67_000955" 167 226 169 246 182 262 184 201 241 119 175 285
"OL67_000956" 1060 706 481 692 670 1111 902 840 1104 513 670 1067
"OL67_000957" 1832 3633 2995 5007 1225 1944 1320 1043 1695 5599 8562 8497
"OL67_000958" 3249 2929 2726 4268 3817 4940 7585 6655 7427 1970 2622 3966
"OL67_000959" 353 1578 1243 1381 586 779 695 647 752 205 268 469
"OL67_000960" 826 2323 2042 3123 843 1139 1119 949 1183 423 446 865
"OL67_000961" 698 1835 1291 2289 599 707 615 645 803 297 372 681
"OL67_000962" 1016 2614 2078 3991 676 959 932 841 1010 471 547 858
"OL67_000963" 79 593 373 575 159 235 205 198 239 104 131 209
"OL67_000964" 1680 4945 4412 8463 1048 1786 1579 1374 1693 781 1042 1445
"OL67_000965" 4563 38594 33561 52268 5424 8226 7301 7014 8184 5783 7070 9995
"OL67_000966" 5058 3570 2400 3988 3909 5717 4482 4113 5769 3062 3668 5683
"OL67_000967" 2672 1331 966 1597 1876 2805 2219 2177 2649 1094 1491 1953
"OL67_000968" 1761 913 799 1246 1130 1745 1454 1476 1833 715 908 1428
"OL67_000969" 2136 2321 1752 2207 2664 3769 2951 3200 4280 1626 2142 3658
"OL67_000970" 1134 961 659 954 1046 1626 1438 1225 1839 646 716 1273
"OL67_000971" 795 623 474 496 725 1085 1013 879 1288 346 447 818
"OL67_000972" 821 1284 916 847 1059 1376 1370 1130 1652 840 1249 1481
"OL67_000974" 574 513 387 773 424 705 466 476 655 424 505 674
"OL67_000975" 487 569 460 696 306 381 312 316 419 427 617 897
"OL67_000976" 370 332 218 230 305 389 317 342 445 243 322 458
"OL67_000977" 243 232 100 131 170 284 190 164 290 164 217 287
"OL67_000978" 1224 890 572 874 698 1167 1176 758 1286 677 938 1325
"OL67_000979" 419 600 526 633 354 525 339 415 538 593 766 944
"OL67_000980" 569 1136 797 1046 829 1004 960 891 1104 1037 1596 2037
"OL67_000981" 1323 900 753 737 1017 1511 1113 998 1451 779 961 1610
"OL67_000982" 33 140 81 87 40 63 45 39 65 169 374 388
"OL67_000983" 7 32 12 6 21 24 21 23 26 13 28 27
"OL67_000984" 100 250 229 284 116 125 69 64 81 91 87 143
"OL67_000985" 132 400 258 384 136 179 148 120 210 225 374 353
"OL67_000986" 924 791 637 814 811 1211 925 875 1364 577 650 1030
"OL67_000987" 717 922 721 669 879 1297 837 1000 1397 581 816 1261
"OL67_000988" 290 679 366 231 460 622 510 493 713 391 529 710
"OL67_000989" 1523 3259 2178 2886 2335 2879 2959 2764 3530 2842 4350 6579
"OL67_000992" 277 255 122 158 212 316 273 250 328 147 172 227
"OL67_000993" 929 1324 998 1318 1004 1383 1152 1033 1315 809 998 1613
"OL67_000995" 55 745 543 556 78 106 105 107 164 815 1397 1510
"OL67_000996" 11092 12129 9636 16100 10188 14847 11567 11606 15026 7643 9328 13582
"OL67_000997" 3970 3284 2639 3380 2652 4035 3506 2876 3922 1471 2017 3228
"OL67_000998" 761 3860 3675 3541 1240 1518 1957 1926 2503 1167 1415 2564
"OL67_000999" 1738 2098 1414 1437 1771 2654 2066 1793 2457 1742 2432 3193
"OL67_001000" 1272 32608 18963 10286 2339 3125 2230 1866 3048 5827 8149 12242
"OL67_001001" 892 2451 1914 3833 695 1032 752 628 1012 1584 2448 3107
"OL67_001002" 2616 7122 4827 3191 4468 6537 4523 4570 6368 3651 5144 7247
"OL67_001003" 1679 2036 1604 1875 1754 2686 1874 1877 2526 930 1190 2050
"OL67_001004" 969 994 897 1106 856 1164 867 891 1151 493 552 1032
"OL67_001005" 1632 1886 1372 1789 1636 2472 1754 1728 2342 807 1148 1622
"OL67_001006" 1026 743 485 779 942 1427 957 956 1246 475 659 976
"OL67_001007" 1345 742 588 807 966 1494 1076 996 1351 480 734 1042
"OL67_001008" 522 399 348 688 319 658 427 256 521 364 454 465
"OL67_001009" 373 113 127 117 394 553 388 328 459 68 112 180
"OL67_001010" 797 725 490 922 669 910 695 585 910 600 787 1013
"OL67_001011" 155 191 137 235 135 214 189 137 210 128 196 246
"OL67_001012" 78 277 194 147 115 213 146 123 216 192 340 408
"OL67_001013" 367 273 217 372 248 426 293 279 404 169 185 411
"OL67_001014" 854 390 293 494 695 1030 816 636 936 344 483 637
"OL67_001015" 1411 409 254 441 751 1273 988 867 1103 309 423 645
"OL67_001016" 1213 519 374 661 959 1536 1280 975 1462 421 628 873
"OL67_001017" 285 53 47 80 152 202 155 120 206 70 67 101
"OL67_001018" 120 40 31 33 70 110 85 59 126 15 31 63
"OL67_001019" 232 213 127 192 193 336 238 183 296 173 256 328
"OL67_001020" 2421 1602 1153 1792 1840 2922 2515 2217 3141 914 1309 1895
"OL67_001021" 1774 644 500 650 1045 1457 1292 1063 1551 388 548 724
"OL67_001022" 2342 1018 754 1162 1419 2097 1771 1588 2279 723 915 1267
"OL67_001023" 9314 12877 9945 16903 11304 17496 12944 12923 16879 9673 12874 17458
"OL67_001024" 10413 18897 12321 13357 9403 12194 11252 10300 14575 5043 7429 11308
"OL67_001025" 767 1178 898 1078 849 1498 1105 874 1379 907 1106 1440
"OL67_001026" 1723 769 608 1023 966 1493 1092 891 1261 540 671 927
"OL67_001027" 231 139 91 186 148 220 188 162 233 102 143 182
"OL67_001028" 269 1874 971 186 421 593 470 598 944 420 679 1051
"OL67_001029" 834 915 609 683 995 1239 1317 1192 1579 868 1267 1776
"OL67_001030" 1263 1213 986 1746 1412 1983 1395 1362 1793 1083 1493 2028
"OL67_001031" 3265 2821 2211 3352 2791 4091 3026 2978 3969 1619 2132 3197
"OL67_001032" 2883 3993 2823 3244 3210 4962 3382 3514 5087 2666 3295 4979
"OL67_001033" 3162 3533 2724 4483 2261 4117 2651 2510 4097 2328 2992 5071
"OL67_001034" 1705 1364 727 1079 1689 2334 2119 1812 2625 1070 1502 2282
"OL67_001035" 60 163 108 193 90 123 93 110 133 88 114 146
"OL67_001036" 1167 983 787 1566 871 1550 872 1027 1343 564 704 1080
"OL67_001037" 4861 5542 3967 5756 4772 7243 5871 5471 7619 3934 4590 7260
"OL67_001038" 1109 331 221 403 769 942 834 732 1017 339 609 688
"OL67_001039" 499 646 548 721 707 980 1024 891 1166 308 431 690
"OL67_001040" 31 65 25 33 50 83 61 60 51 14 36 58
"OL67_001041" 2275 2011 1637 2468 2091 3059 2698 2569 3003 1610 2094 2941
"OL67_001042" 1479 685 549 1088 1052 1405 1106 706 985 256 570 707
"OL67_001043" 1674 455 338 617 961 1488 1461 1539 1972 854 1295 1404
"OL67_001044" 128 34 29 33 78 105 80 107 150 40 86 86
"OL67_001045" 336 496 384 556 271 399 294 350 499 224 358 337
"OL67_001046" 219 158 134 236 162 295 167 124 201 177 265 269
"OL67_001047" 27 85 50 49 48 88 56 50 83 37 91 122
"OL67_001048" 169 173 113 138 143 221 175 164 245 94 115 165
"OL67_001049" 86 143 118 139 97 180 117 117 134 78 103 144
"OL67_001050" 652 852 607 867 600 776 804 655 970 492 688 1096
"OL67_001051" 64 66 76 94 66 137 128 88 126 49 78 88
"OL67_001052" 277 272 241 380 324 331 400 382 451 208 323 389
"OL67_001053" 37 78 41 45 42 68 47 54 32 40 71 84
"OL67_001054" 200 173 101 167 131 243 105 72 117 137 268 232
"OL67_001055" 1975 2013 2554 5746 1782 4165 1992 1533 1784 2904 2941 3063
"OL67_001056" 66 62 62 101 50 134 64 87 72 92 108 137
"OL67_001057" 35 76 45 32 39 52 41 51 41 40 84 90
"OL67_001058" 53 67 63 104 41 99 50 50 65 47 60 64
"OL67_001059" 36 37 22 22 22 38 35 26 44 21 28 45
"OL67_001060" 319 1526 1183 1055 433 549 477 475 509 542 762 1081
"OL67_001061" 3722 4865 4112 4973 2356 3516 873 1111 879 3237 5725 6443
"OL67_001062" 1 0 0 0 0 0 4 0 1 0 0 0
"OL67_001063" 3005 1600 1594 2559 2189 3489 2915 2420 3127 1390 1742 2560
"OL67_001064" 1335 1799 1671 2153 1827 3390 3000 2385 3038 1561 1858 2493
"OL67_001065" 21928 19940 19435 26528 22359 34109 31366 29284 33516 13778 17740 20787
"OL67_001066" 4080 3082 2162 2852 3297 4738 4062 3569 4714 2304 3124 4437
"OL67_001067" 1773 1013 699 715 1231 1908 1426 1367 1840 798 1135 1452
"OL67_001068" 1994 2582 1825 2280 2373 3197 2790 2389 3207 1381 2097 2578
"OL67_001069" 1498 1257 927 1361 1364 1893 1589 1397 1944 699 1121 1276
"OL67_001070" 5272 3577 2541 4315 4004 5623 4459 4398 5656 2532 3778 4878
"OL67_001071" 482 228 152 240 349 565 356 352 540 142 209 334
"OL67_001072" 650 577 392 521 668 927 699 674 956 278 398 678
"OL67_001073" 1553 1557 883 1057 1098 1507 1102 1142 1691 829 1142 1656
"OL67_001074" 682 566 461 638 574 963 667 620 828 420 530 752
"OL67_001075" 1078 1415 974 1210 1513 2084 2059 1840 2717 443 616 949
"OL67_001076" 3197 3394 2090 3477 2995 4361 4225 3791 5571 1092 1422 2380
"OL67_001077" 2934 3774 2523 2929 3701 5023 4428 4481 6881 1123 1486 2474
"OL67_001078" 152 124 128 219 112 209 139 121 167 90 97 166
"OL67_001079" 681 1254 909 796 816 1227 1153 1024 1396 611 792 1138
"OL67_001080" 363 566 450 570 269 392 365 322 471 479 960 990
"OL67_001081" 156 744 544 530 223 273 250 210 305 601 1106 1112
"OL67_001082" 4320 326 207 401 2908 4533 3733 3066 4433 1221 2071 2269
"OL67_001083" 1779 442 352 839 1590 2126 4598 2738 3564 10467 10515 13107
"OL67_001084" 1564 130 77 146 1233 1986 1354 1284 1892 316 463 713
"OL67_001085" 3518 331 285 662 2612 4283 2243 2516 3561 923 1441 1702
"OL67_001086" 3802 413 312 566 2973 4497 2762 2543 3937 1133 1675 1955
"OL67_001087" 838 261 278 508 742 1197 944 677 805 370 501 631
"OL67_001088" 1097 158 82 275 597 801 625 450 658 208 300 379
"OL67_001089" 3813 2331 1372 1217 2765 4049 3930 2635 3989 1806 2375 3945
"OL67_001090" 3135 2702 1895 2820 3447 5333 3850 3346 4942 2490 3240 5023
"OL67_001091" 4452 2074 1588 2900 2677 4455 3444 2498 3956 2163 2626 3984
"OL67_001092" 7557 3713 2524 3606 4896 8097 5911 4538 7169 3795 4714 6969
"OL67_001093" 10940 5011 3599 5181 7241 11691 7939 6737 10243 5229 5775 9474
"OL67_001094" 490 526 321 313 669 1027 711 640 1084 370 572 723
"OL67_001095" 1562 785 614 1066 1281 2189 1471 1122 1706 991 1190 1720
"OL67_001096" 850 381 231 400 464 840 415 451 691 360 482 590
"OL67_001097" 631 374 283 278 530 965 623 535 834 334 381 563
"OL67_001098" 12719 5154 3815 6569 7900 12811 8178 7505 11335 5156 6170 9649
"OL67_001099" 448 340 214 192 578 938 562 560 895 309 444 552
"OL67_001100" 2833 1636 1152 1867 2275 3917 2782 2221 3529 1760 2464 3272
"OL67_001101" 440 333 350 724 560 1149 452 618 809 475 532 743
"OL67_001102" 289 324 287 429 414 840 709 483 706 318 391 617
"OL67_001103" 328 139 163 266 205 475 268 268 295 192 223 311
"OL67_001104" 118 103 71 156 116 236 175 101 178 114 182 144
"OL67_001105" 10042 4668 3544 4743 6999 11816 8941 7007 10970 5071 6416 9314
"OL67_001106" 4351 2204 1716 2153 3267 5715 4348 3239 5061 2558 3107 4371
"OL67_001107" 3892 2001 1535 1767 2768 4858 3418 2769 4284 2068 2588 3628
"OL67_001108" 835 420 238 317 501 746 583 490 801 352 512 642
"OL67_001109" 472 371 212 229 505 792 596 490 772 314 528 623
"OL67_001110" 3575 1779 1409 2357 2934 5015 3843 3482 4986 1791 2312 3564
"OL67_001111" 580 16023 11968 18675 558 1006 521 556 596 2768 3856 6148
"OL67_001112" 7617 9320 6998 7649 7258 11281 8561 8054 12583 5968 7412 12496
"OL67_001113" 177 258 181 185 201 358 303 247 382 106 133 216
"OL67_001114" 680 1035 812 814 744 1112 814 827 1184 540 632 1032
"OL67_001115" 3021 2276 1609 2048 2327 3745 3055 2641 4017 1799 2066 3604
"OL67_001116" 306 187 98 118 294 420 313 301 417 89 134 225
"OL67_001117" 1265 1174 834 1102 1036 1426 1337 1073 1467 439 590 873
"OL67_001118" 1055 609 351 566 873 1063 1068 979 1114 529 767 1034
"OL67_001119" 683 564 463 660 579 920 746 622 791 455 518 776
"OL67_001120" 914 801 521 677 872 1198 1154 961 1477 471 681 1012
"OL67_001121" 183 201 185 214 164 241 198 168 266 84 126 205
"OL67_001122" 23 40 20 13 15 19 34 24 32 13 23 29
"OL67_001123" 376 560 358 424 634 984 612 649 1016 541 655 1119
"OL67_001124" 2650 1205 1166 2585 1453 2729 1503 1691 2091 1300 1451 2223
"OL67_001125" 621 453 393 717 642 1032 685 663 805 385 540 810
"OL67_001126" 535 1081 743 1001 999 1428 1133 1075 1618 642 891 1484
"OL67_001127" 2008 1208 1023 1774 1336 2026 1627 1504 2247 825 1051 1616
"OL67_001128" 1261 1857 1381 1226 2072 3172 2297 2132 3114 1317 1780 2680
"OL67_001129" 471 385 256 323 457 686 423 455 652 208 346 444
"OL67_001130" 1133 1733 1037 1400 1376 2048 1435 1506 2115 926 1288 2086
"OL67_001131" 1463 994 705 1081 1098 1850 1444 1165 1715 866 1246 1766
"OL67_001132" 165 46 20 34 248 269 265 205 372 30 47 82
"OL67_001133" 232 174 154 157 192 330 299 216 342 128 132 229
"OL67_001134" 5858 3530 2594 4109 4730 7776 5606 4324 7271 3494 4054 6945
"OL67_001135" 1303 2425 1703 2221 1336 1764 1719 1462 1805 765 1101 1610
"OL67_001136" 4244 2325 1692 2074 3186 4743 4135 2952 4770 1798 2046 3442
"OL67_001137" 665 662 437 570 579 846 616 610 776 613 822 1081
"OL67_001138" 6 12 16 24 21 26 19 21 16 13 11 21
"OL67_001139" 609 579 402 516 655 1003 683 709 1078 355 491 768
"OL67_001140" 586 563 387 560 571 900 649 579 872 407 555 760
"OL67_001141" 1655 1187 884 1212 1129 1897 1218 1243 1715 635 946 1441
"OL67_001142" 1751 1971 1272 1325 2001 3024 2328 2234 3112 1241 1468 2537
"OL67_001143" 1705 1096 936 1480 1411 2242 1651 1639 2324 1075 1231 2046
"OL67_001144" 747 708 622 1159 920 1432 1095 1003 1425 651 809 1209
"OL67_001145" 1066 1755 1162 1262 1071 1297 976 1137 1501 799 1359 1765
"OL67_001146" 563 849 566 713 615 840 753 609 837 392 543 783
"OL67_001147" 314 140 127 228 306 545 341 310 453 275 334 439
"OL67_001148" 269 77 66 91 249 396 197 220 364 105 155 229
"OL67_001149" 2752 858 754 1614 2533 3440 2779 2815 3289 570 953 1073
"OL67_001150" 802 934 712 787 912 1395 1079 1112 1463 478 674 997
"OL67_001151" 1073 945 649 1061 773 1093 844 833 1092 571 812 1173
"OL67_001152" 188 285 210 228 286 398 299 251 377 225 319 428
"OL67_001153" 822 836 723 1057 628 901 775 730 865 414 493 815
"OL67_001154" 300 649 412 537 284 396 336 303 430 286 383 516
"OL67_001155" 381 605 506 691 277 433 275 255 372 386 554 698
"OL67_001156" 242 218 198 127 245 301 203 264 335 135 223 340
"OL67_001157" 555 512 383 808 375 594 408 369 538 507 627 786
"OL67_001158" 2983 1886 1364 4361 1965 3572 2478 1779 3706 1964 2680 2612
"OL67_001159" 1335 1199 991 1397 1319 2198 1742 1449 2040 781 1030 1664
"OL67_001160" 1043 1019 682 826 1026 1517 1161 1130 1551 860 1020 1602
"OL67_001161" 971 8404 5689 7757 2200 2752 2055 2197 3244 2393 2921 5696
"OL67_001162" 1538 5814 5274 9104 1521 2192 2004 1805 2252 1674 2077 3554
"OL67_001163" 1276 1626 1229 1553 698 1087 990 627 1034 1430 2248 2455
"OL67_001164" 1296 1743 1284 1689 1219 1807 1302 1329 1676 828 997 1491
"OL67_001165" 40 131 110 104 70 107 109 106 102 54 76 106
"OL67_001166" 3184 2725 1764 2331 2683 3995 3291 2781 4105 1822 2374 4163
"OL67_001167" 3289 3482 2820 4296 3760 5380 3761 4094 5234 1835 2515 4272
"OL67_001168" 600 459 341 434 664 904 697 659 930 311 412 704
"OL67_001169" 425 261 250 350 327 532 380 395 534 182 223 332
"OL67_001170" 695 339 294 434 540 775 648 492 770 260 293 469
"OL67_001171" 83 120 66 47 104 156 98 112 163 44 79 112
"OL67_001172" 432 323 198 374 247 419 315 255 434 268 326 371
"OL67_001174" 5506 4429 3377 5165 4410 6152 4769 4919 6098 2105 2750 4457
"OL67_001175" 726 1789 1373 1624 1015 1645 1135 1255 1635 968 1235 1562
"OL67_001176" 1884 1288 868 970 1554 2466 1618 1589 2269 1016 1358 2021
"OL67_001177" 5185 4841 3697 5036 3855 6234 4594 4055 6488 2502 3010 5486
"OL67_001178" 7781 17253 11114 11107 13429 20031 16128 14275 23236 9209 11410 20694
"OL67_001179" 3348 2550 1949 4449 1739 2690 1740 1890 2650 1884 2568 3471
"OL67_001180" 848 1106 598 627 1011 1394 915 1006 1418 711 976 1238
"OL67_001181" 105 52 40 116 47 82 65 30 71 42 57 75
"OL67_001182" 1081 672 343 573 713 962 782 695 1073 403 591 811
"OL67_001183" 45 70 41 52 63 101 67 80 98 29 56 74
"OL67_001184" 50 99 62 126 46 95 81 73 96 50 64 95
"OL67_001185" 2022 252 211 444 2137 3166 2140 2064 2920 793 1268 1408
"OL67_001186" 546 774 637 1021 699 987 1103 1200 1586 251 365 670
"OL67_001187" 2572 2215 1740 2117 2291 3333 2978 2399 3662 1868 2215 3850
"OL67_001188" 360 341 221 406 237 394 272 197 298 213 288 330
"OL67_001189" 12 39 32 68 19 56 29 28 42 20 50 59
"OL67_001190" 449 682 389 475 298 425 314 332 445 405 712 872
"OL67_001191" 300 342 223 291 313 400 366 276 370 205 290 376
"OL67_001192" 170 253 157 127 162 179 194 151 231 110 191 298
"OL67_001193" 1676 4179 3428 6322 1883 3179 2182 2227 3376 2855 4027 6483
"OL67_001194" 117 48 22 54 48 101 53 47 80 44 73 66
"OL67_001195" 652 788 512 653 399 524 446 297 341 232 255 408
"OL67_001196" 1220 1413 1718 3052 1030 2117 1660 1267 1777 1523 1780 2043
"OL67_001197" 449 408 254 355 235 331 392 298 381 220 293 456
"OL67_001198" 45 276 233 484 44 89 35 36 58 827 1228 1065
"OL67_001199" 310 190 156 249 357 625 394 417 581 95 240 294
"OL67_001200" 339 432 329 322 474 725 501 503 665 268 342 525
"OL67_001201" 415 444 345 330 485 754 630 557 727 238 362 467
"OL67_001202" 774 796 577 841 792 1073 1050 915 1247 476 638 982
"OL67_001203" 449 2319 2037 2436 481 755 1043 824 1345 811 967 1680
"OL67_001204" 1280 872 823 1115 1382 1932 1591 1408 1880 1378 1876 2801
"OL67_001205" 2319 2563 2269 2801 2664 4146 3400 3311 4352 3672 4917 6759
"OL67_001206" 1112 1311 1169 1520 1350 1990 1829 1614 2417 1434 2195 2861
"OL67_001207" 1626 1547 1390 2648 1466 2029 1786 1674 2079 1896 2681 3784
"OL67_001208" 560 599 478 608 765 1099 744 793 1166 445 581 929
"OL67_001209" 1551 922 797 1830 1256 1776 1452 1342 1664 741 965 1401
"OL67_001210" 9282 8163 6482 10963 9220 13897 9140 10282 14010 6264 8195 11434
"OL67_001211" 1655 2487 1796 1980 2125 2929 2192 2200 3070 1219 1701 2653
"OL67_001212" 437 811 635 1066 565 792 706 612 865 301 389 617
"OL67_001213" 815 1325 1118 2207 512 814 743 742 862 509 659 1109
"OL67_001214" 1406 2671 2095 3853 1136 1644 1339 1466 1677 954 1332 1848
"OL67_001215" 537 1705 1289 1189 845 1099 739 1002 1324 558 707 1103
"OL67_001216" 7448 5151 4027 6913 5438 8473 6568 6218 8464 4384 5347 8290
"OL67_001217" 165 143 157 214 137 163 137 113 199 51 123 168
"OL67_001218" 3314 4115 2827 4856 2037 2769 2626 2474 3422 3236 4976 5884
"OL67_001219" 112 176 222 480 111 183 159 119 151 137 197 220
"OL67_001220" 172 553 310 430 169 201 192 183 254 163 284 406
"OL67_001221" 85 329 229 324 108 171 129 96 184 170 308 277
"OL67_001222" 163 601 524 694 261 343 238 212 346 370 563 760
"OL67_001223" 820 18960 16191 29936 1062 1517 1119 1122 1457 9621 14453 20203
"OL67_001224" 131 359 227 290 114 167 162 116 180 258 469 415
"OL67_001225" 3105 5038 3760 5139 2173 3299 2961 2283 3694 2474 2860 4778
"OL67_001226" 103 211 132 123 142 232 183 163 214 84 89 191
"OL67_001227" 236 650 459 430 427 621 476 419 606 256 320 562
"OL67_001228" 5067 6681 4961 9338 4520 7480 4010 3557 5665 6006 9203 11442
"OL67_001229" 59 27 26 64 36 53 31 41 54 31 37 82
"OL67_001230" 238 537 443 405 209 352 229 193 236 275 405 528
"OL67_001232" 448 831 470 371 758 995 757 752 1159 414 535 794
"OL67_001233" 531 2019 1529 1810 775 1026 1890 1714 2343 574 757 1255
"OL67_001234" 446 626 400 713 526 784 1040 704 946 359 452 580
"OL67_001235" 82 74 57 76 78 122 202 85 138 1053 1229 1498
"OL67_001236" 256 307 184 157 330 460 499 364 548 1082 1374 1513
"OL67_001237" 304 253 169 187 336 442 379 346 537 193 209 322
"OL67_001238" 24 13 13 20 18 26 16 21 32 18 20 32
"OL67_001239" 124 1908 1625 3848 138 163 150 126 253 3293 6787 5276
"OL67_001240" 69 921 719 1384 70 98 90 56 120 1858 3881 3027
"OL67_001241" 3228 5254 4406 7937 2619 4205 3577 3253 5012 3841 4173 6787
"OL67_001242" 488 729 458 550 517 768 536 546 657 334 402 684
"OL67_001243" 501 798 571 781 678 858 689 702 937 532 752 970
"OL67_001244" 665 1051 909 1187 822 1323 903 777 1132 1367 2080 2701
"OL67_001245" 2269 2949 2383 3373 2223 3259 2889 2852 3464 2170 2692 4399
"OL67_001246" 684 541 331 476 560 778 682 706 833 391 563 667
"OL67_001247" 85 206 134 188 164 191 145 114 185 139 181 238
"OL67_001248" 377 229 130 173 189 216 202 213 240 145 236 362
"OL67_001249" 218 314 245 327 213 326 240 228 320 199 270 395
"OL67_001250" 3934 3150 2457 3585 2341 3634 3211 2760 4006 1935 2305 3650
"OL67_001251" 1368 4106 2650 2737 1740 2510 2080 1901 2444 1632 1941 3162
"OL67_001252" 462 605 414 662 405 686 528 400 624 304 407 706
"OL67_001253" 202 988 797 936 244 378 220 195 310 364 497 784
"OL67_001254" 107 136 86 86 142 184 140 155 203 73 114 165
"OL67_001255" 848 2699 2348 2664 1208 1604 2117 1988 2581 876 1111 1975
"OL67_001256" 1715 4334 4383 10388 1384 2086 1740 1754 2202 10107 15266 13980
"OL67_001257" 1315 3367 3642 7987 988 1606 1286 1194 1645 7724 11795 10530
"OL67_001258" 129 566 494 594 171 236 243 188 236 920 1863 1807
"OL67_001259" 470 1996 1795 3526 391 578 617 577 778 2354 4520 3812
"OL67_001260" 99 817 743 973 95 161 163 156 163 910 1836 1485
"OL67_001261" 831 10566 11354 22916 777 1046 967 886 1268 13237 26586 20396
"OL67_001262" 133 3740 3587 5875 186 256 202 192 315 3161 6348 5227
"OL67_001263" 805 1246 740 865 1000 1404 1112 958 1354 824 1184 1336
"OL67_001264" 26 43 30 36 39 73 59 41 62 32 65 74
"OL67_001265" 164 166 162 319 152 263 209 180 257 134 189 283
"OL67_001266" 261 169 107 160 178 310 276 223 296 139 187 209
"OL67_001267" 323 287 177 140 306 493 345 404 502 188 223 431
"OL67_001268" 1147 623 454 732 934 1476 1078 975 1479 520 648 1023
"OL67_001269" 580 418 277 367 545 798 589 596 890 261 340 601
"OL67_001270" 1693 3231 2538 3568 1879 2780 2671 2507 2564 2115 3064 3843
"OL67_001271" 66 93 70 75 91 122 97 86 112 73 125 125
"OL67_001272" 439 294 194 219 605 919 451 533 718 314 460 648
"OL67_001273" 675 670 475 485 583 791 634 613 923 383 566 781
"OL67_001274" 621 902 733 878 656 1072 675 625 958 827 1125 1579
"OL67_001275" 177 415 277 307 234 402 230 218 352 439 566 840
"OL67_001276" 174 216 226 349 112 215 190 96 176 241 305 426
"OL67_001277" 299 459 439 788 257 427 282 249 402 635 797 1059
"OL67_001278" 968 1020 612 1300 618 817 723 540 922 1219 1760 2110
"OL67_001279" 179 445 382 310 224 353 284 212 347 597 718 984
"OL67_001280" 2084 3322 2474 3713 1717 2736 2081 1754 2593 4042 5700 6854
"OL67_001281" 218 308 190 232 162 198 214 173 253 193 311 399
"OL67_001282" 252 334 222 330 252 312 274 261 330 225 332 403
"OL67_001283" 2133 721 400 743 1738 2525 1863 1633 2361 703 909 1326
"OL67_001284" 1610 709 482 740 1549 2090 1580 1566 2389 679 1122 1529
"OL67_001285" 1307 408 291 492 905 1255 1183 947 1419 436 717 832
"OL67_001286" 2109 1423 1098 1653 2409 3184 2449 2593 3484 1585 2607 3243
"OL67_001287" 890 1160 846 758 1028 1426 1125 1060 1320 833 1152 1545
"OL67_001288" 973 1222 1008 1517 969 1396 1117 951 1268 767 1080 1554
"OL67_001289" 5 32 26 10 10 30 13 22 20 16 29 44
"OL67_001290" 251 245 152 266 212 306 209 156 278 201 270 404
"OL67_001291" 370 556 433 776 302 390 327 330 464 329 465 629
"OL67_001292" 422 921 734 1411 374 579 383 390 538 490 699 862
"OL67_001293" 123 204 129 152 109 186 164 100 170 107 170 200
"OL67_001294" 192 171 145 212 135 198 185 163 156 135 214 243
"OL67_001295" 626 223 210 332 520 876 515 454 616 330 484 584
"OL67_001296" 922 347 273 476 714 1064 657 707 821 483 671 967
"OL67_001297" 397 450 345 576 785 1203 689 741 959 546 743 1019
"OL67_001298" 980 364 307 481 938 1652 902 797 1182 598 874 943
"OL67_001299" 397 121 110 201 364 491 320 259 398 204 299 354
"OL67_001300" 93 41 29 54 72 103 54 45 78 62 78 76
"OL67_001301" 88 50 37 89 73 121 75 63 100 62 73 110
"OL67_001302" 152 116 81 118 157 228 155 169 213 92 122 175
"OL67_001303" 168 324 293 408 201 387 237 276 241 232 316 460
"OL67_001304" 184 531 405 398 227 313 223 255 304 237 275 417
"OL67_001305" 5293 5854 3955 4919 5535 7512 6752 6730 9272 3562 4946 6937
"OL67_001306" 13848 10992 7534 11458 9573 13290 10528 10917 15391 7008 9553 12653
"OL67_001307" 91 128 101 86 59 89 80 76 114 35 48 78
"OL67_001308" 41 114 91 96 31 72 54 51 72 24 22 56
"OL67_001309" 1594 2380 1250 1160 1311 2002 1618 1356 2197 1593 2063 2366
"OL67_001310" 576 428 266 584 253 475 433 230 434 296 495 453
"OL67_001311" 246 332 228 357 219 405 325 257 397 247 327 401
"OL67_001312" 278 187 144 186 266 443 334 296 431 147 196 255
"OL67_001313" 9579 7587 5931 10033 7139 11234 8524 7876 11258 6290 8147 12150
"OL67_001314" 3304 3782 2877 4778 2821 4206 3173 2867 3900 2443 3503 5724
"OL67_001315" 320 262 215 279 273 426 253 283 391 169 192 311
"OL67_001316" 14 0 1 0 11 37 10 9 16 3 12 3
"OL67_001317" 1089 55 70 121 1405 2386 1033 970 1527 393 831 815
"OL67_001318" 245 41 29 49 409 610 368 342 477 95 228 264
"OL67_001319" 921 36 33 73 780 1488 699 645 991 296 561 427
"OL67_001320" 609 26 18 46 715 1210 632 641 792 248 435 392
